fixture,size_chars,operation,iterations,events,total_ms,ns_per_event,checksum
plain,1000,layout_wrap_map,10,10,0.345,34550,140
plain,1000,input_h_l,10,20,0.011,570,1
plain,1000,input_word_w_b,10,20,0.013,662,0
plain,1000,input_typing,10,10,0.302,30179,10
plain,1000,layout_warm_row_fragments_deep,10,10,0.021,2120,6400
plain,1000,layout_warm_nowrap_fragments_far,10,10,0.051,5054,800
plain,1000,index_warm_far_coordinate,10,10,0.000,25,0
unicode,1000,layout_wrap_map,10,10,1.199,119854,220
unicode,1000,input_h_l,10,20,0.019,933,1
unicode,1000,input_word_w_b,10,20,0.020,1018,0
unicode,1000,input_typing,10,10,0.518,51795,10
unicode,1000,layout_warm_row_fragments_deep,10,10,0.021,2075,8960
unicode,1000,layout_warm_nowrap_fragments_far,10,10,4.298,429750,1120
unicode,1000,index_warm_far_coordinate,10,10,0.021,2079,15840
plain_unbroken,1000,input_word_w_unbroken,10,10,0.056,5612,9990
plain_unbroken,1000,syntax_dense_cached_range,10,10,0.004,375,200
plain_unbroken,1000,search_dense_cached_line,10,10,0.000,16,9980
plain,10000,layout_wrap_map,10,10,0.282,28195,1260
plain,10000,input_h_l,10,20,0.012,610,1
plain,10000,input_word_w_b,10,20,0.015,752,0
plain,10000,input_typing,10,10,0.034,3412,10
plain,10000,layout_warm_row_fragments_deep,10,10,0.022,2166,6400
plain,10000,layout_warm_nowrap_fragments_far,10,10,0.054,5379,800
plain,10000,index_warm_far_coordinate,10,10,0.000,29,0
unicode,10000,layout_wrap_map,10,10,4.216,421637,2100
unicode,10000,input_h_l,10,20,0.019,962,1
unicode,10000,input_word_w_b,10,20,0.022,1087,0
unicode,10000,input_typing,10,10,4.244,424358,10
unicode,10000,layout_warm_row_fragments_deep,10,10,0.019,1945,8960
unicode,10000,layout_warm_nowrap_fragments_far,10,10,5.627,562666,1120
unicode,10000,index_warm_far_coordinate,10,10,0.033,3308,262080
plain_unbroken,10000,input_word_w_unbroken,10,10,0.495,49479,99990
plain_unbroken,10000,syntax_dense_cached_range,10,10,0.004,362,200
plain_unbroken,10000,search_dense_cached_line,10,10,0.000,29,99980
plain,100000,layout_wrap_map,10,10,2.636,263629,12510
plain,100000,input_h_l,10,20,0.013,625,1
plain,100000,input_word_w_b,10,20,0.015,766,0
plain,100000,input_typing,10,10,0.037,3745,10
plain,100000,layout_warm_row_fragments_deep,10,10,0.025,2533,6400
plain,100000,layout_warm_nowrap_fragments_far,10,10,0.053,5283,800
plain,100000,index_warm_far_coordinate,10,10,0.000,20,0
unicode,100000,layout_wrap_map,10,10,45.236,4523554,20850
unicode,100000,input_h_l,10,20,0.028,1414,1
unicode,100000,input_word_w_b,10,20,0.030,1522,0
unicode,100000,input_typing,10,10,48.242,4824170,10
unicode,100000,layout_warm_row_fragments_deep,10,10,0.022,2175,8960
unicode,100000,layout_warm_nowrap_fragments_far,10,10,2.745,274475,1120
unicode,100000,index_warm_far_coordinate,10,10,0.002,233,1996800
plain_unbroken,100000,input_word_w_unbroken,10,10,4.918,491833,999990
plain_unbroken,100000,syntax_dense_cached_range,10,10,0.004,387,200
plain_unbroken,100000,search_dense_cached_line,10,10,0.000,12,999980
plain,1000000,layout_wrap_map,10,10,25.191,2519083,125010
plain,1000000,input_h_l,10,20,0.018,908,1
plain,1000000,input_word_w_b,10,20,0.020,1012,0
plain,1000000,input_typing,10,10,0.044,4391,10
plain,1000000,layout_warm_row_fragments_deep,10,10,0.027,2745,6400
plain,1000000,layout_warm_nowrap_fragments_far,10,10,0.055,5475,800
plain,1000000,index_warm_far_coordinate,10,10,0.000,29,0
unicode,1000000,layout_wrap_map,10,10,464.787,46478654,208350
unicode,1000000,input_h_l,10,20,0.029,1437,1
unicode,1000000,input_word_w_b,10,20,0.031,1554,0
unicode,1000000,input_typing,10,10,492.243,49224345,10
unicode,1000000,layout_warm_row_fragments_deep,10,10,0.026,2604,8960
unicode,1000000,layout_warm_nowrap_fragments_far,10,10,4.530,452995,1120
unicode,1000000,index_warm_far_coordinate,10,10,0.048,4825,14532480
plain_unbroken,1000000,input_word_w_unbroken,10,10,48.185,4818462,9999990
plain_unbroken,1000000,syntax_dense_cached_range,10,10,0.004,437,200
plain_unbroken,1000000,search_dense_cached_line,10,10,0.001,66,9999980
